date,measuring_station,traffic,avg_time_on_street
2025-04-01,ZUERICH BRUNAU (AB),58.34907855166525,64.2091018651119
2025-04-02,ZUERICH BRUNAU (AB),62.04593118029757,63.682991058268904
2025-04-03,ZUERICH BRUNAU (AB),63.97233174693946,63.649184618171915
2025-04-04,ZUERICH BRUNAU (AB),57.422339176411654,62.44887535959187
2025-04-05,ZUERICH BRUNAU (AB),52.801404098445246,48.81303150081487
2025-04-06,ZUERICH BRUNAU (AB),44.503591759494704,46.43375875426349
2025-04-07,ZUERICH BRUNAU (AB),61.74497341306706,61.72961492470639
2025-04-08,ZUERICH BRUNAU (AB),58.986995800194585,56.82788383460025
2025-04-09,ZUERICH BRUNAU (AB),48.50621728222153,59.26820523496533
2025-04-10,ZUERICH BRUNAU (AB),63.86770187805597,61.742859075800375
2025-04-11,ZUERICH BRUNAU (AB),56.20895841860058,63.007230662004915
2025-04-12,ZUERICH BRUNAU (AB),59.59889273230792,40.95683146810536
2025-04-13,ZUERICH BRUNAU (AB),42.048540423751994,47.949986325528165
2025-04-14,ZUERICH BRUNAU (AB),64.90156727911322,59.38364732617026
2025-04-15,ZUERICH BRUNAU (AB),65.96799284782954,56.7945745008059
2025-04-16,ZUERICH BRUNAU (AB),72.91587880147375,57.55300408920358
2025-04-17,ZUERICH BRUNAU (AB),60.624395080983476,55.552707995362674
2025-04-18,ZUERICH BRUNAU (AB),69.03284729016437,64.78450981303361
2025-04-19,ZUERICH BRUNAU (AB),56.75894389193467,44.57959252093353
2025-04-20,ZUERICH BRUNAU (AB),40.41983169404811,42.25238979181106
2025-04-21,ZUERICH BRUNAU (AB),61.19805019192022,61.49222555352868
2025-04-22,ZUERICH BRUNAU (AB),61.84288498020746,55.4801410668116
2025-04-23,ZUERICH BRUNAU (AB),50.14122849466769,62.89388432489304
2025-04-24,ZUERICH BRUNAU (AB),68.15745930471259,64.59879511027253
2025-04-25,ZUERICH BRUNAU (AB),60.15830934304853,61.68923290979311
2025-04-26,ZUERICH BRUNAU (AB),60.663781319178476,48.013079470411284
2025-04-27,ZUERICH BRUNAU (AB),37.3579542099849,41.717549873549544
2025-04-28,ZUERICH BRUNAU (AB),62.8583688616064,61.054264332975684
2025-04-29,ZUERICH BRUNAU (AB),63.62599673011918,62.66388003331517
2025-04-30,ZUERICH BRUNAU (AB),61.814591906390426,55.657633953045746
2025-04-01,ZUERICH HARDTURM (AB),31.94296204755666,63.66884267945858
2025-04-02,ZUERICH HARDTURM (AB),32.79464647989335,60.93675111152091
2025-04-03,ZUERICH HARDTURM (AB),34.521958945852376,56.159287788628816
2025-04-04,ZUERICH HARDTURM (AB),31.04713502471369,62.651590316654236
2025-04-05,ZUERICH HARDTURM (AB),35.59387945832533,41.49893285404054
2025-04-06,ZUERICH HARDTURM (AB),21.680651547806615,47.72131608461254
2025-04-07,ZUERICH HARDTURM (AB),28.740362630151434,63.30930338138457
2025-04-08,ZUERICH HARDTURM (AB),31.618238887060716,59.64409372439637
2025-04-09,ZUERICH HARDTURM (AB),34.305458117429914,60.92446913470283
2025-04-10,ZUERICH HARDTURM (AB),27.07455532064787,63.71151571877577
2025-04-11,ZUERICH HARDTURM (AB),30.29017345665323,59.05763820774531
2025-04-12,ZUERICH HARDTURM (AB),31.10147452024751,43.35925858132274
2025-04-13,ZUERICH HARDTURM (AB),25.455084925286524,43.606818316388946
2025-04-14,ZUERICH HARDTURM (AB),33.2112144561534,56.021564126650375
2025-04-15,ZUERICH HARDTURM (AB),31.273804539385388,57.22128578141079
2025-04-16,ZUERICH HARDTURM (AB),37.58294414696553,61.36648517546802
2025-04-17,ZUERICH HARDTURM (AB),35.16456942732505,64.27979968758376
2025-04-18,ZUERICH HARDTURM (AB),35.91255266759251,62.25110561737481
2025-04-19,ZUERICH HARDTURM (AB),29.76926492560978,47.83169258420129
2025-04-20,ZUERICH HARDTURM (AB),22.965859944263965,47.698725639649105
2025-04-21,ZUERICH HARDTURM (AB),25.579109756179875,62.115603267530716
2025-04-22,ZUERICH HARDTURM (AB),33.987818321181976,59.63881944139064
2025-04-23,ZUERICH HARDTURM (AB),31.77751061601075,55.37985745544759
2025-04-24,ZUERICH HARDTURM (AB),29.175145331584073,60.511993245914
2025-04-25,ZUERICH HARDTURM (AB),31.63118854209677,57.28663868310155
2025-04-26,ZUERICH HARDTURM (AB),34.45440011913775,49.29152772045346
2025-04-27,ZUERICH HARDTURM (AB),25.70213476403833,48.79562545117693
2025-04-28,ZUERICH HARDTURM (AB),33.4488258307069,64.77946000701722
2025-04-29,ZUERICH HARDTURM (AB),28.154463637482916,62.413573344876504
2025-04-30,ZUERICH HARDTURM (AB),38.843795085463306,64.05253504717709
2025-05-01,ZUERICH BRUNAU (AB),63.041240408782045,61.03349919690982
2025-05-02,ZUERICH BRUNAU (AB),64.19075370878961,63.040545908496895
2025-05-03,ZUERICH BRUNAU (AB),55.173390911249165,42.39097823677247
2025-05-04,ZUERICH BRUNAU (AB),52.31976680831893,40.84450353754724
2025-05-05,ZUERICH BRUNAU (AB),49.007995867652056,58.48547416860091
2025-05-06,ZUERICH BRUNAU (AB),62.04878888907532,55.63838870284909
2025-05-07,ZUERICH BRUNAU (AB),68.28554434402302,62.06777673818753
2025-05-08,ZUERICH BRUNAU (AB),54.75219090836734,60.95831562380875
2025-05-09,ZUERICH BRUNAU (AB),68.36037770747886,63.017651732181996
2025-05-10,ZUERICH BRUNAU (AB),44.42721919019263,42.59164960427681
2025-05-11,ZUERICH BRUNAU (AB),55.61978389596152,40.81240763976556
2025-05-12,ZUERICH BRUNAU (AB),64.25422497871884,61.23644290610563
2025-05-13,ZUERICH BRUNAU (AB),50.256851706667625,64.3219684340077
2025-05-14,ZUERICH BRUNAU (AB),61.53187905043596,55.383520323086
2025-05-15,ZUERICH BRUNAU (AB),49.50267717126076,62.54838406347652
2025-05-16,ZUERICH BRUNAU (AB),60.87505928167956,63.68692503163426
2025-05-17,ZUERICH BRUNAU (AB),56.61113314498232,49.54509961616809
2025-05-18,ZUERICH BRUNAU (AB),50.34809201118638,47.960694878951564
2025-05-19,ZUERICH BRUNAU (AB),64.7823085225139,62.407923041754835
2025-05-20,ZUERICH BRUNAU (AB),56.59251644006201,64.65539120220961
2025-05-21,ZUERICH BRUNAU (AB),58.40574369732621,55.09568027053315
2025-05-22,ZUERICH BRUNAU (AB),59.98905873733996,62.98660614657348
2025-05-23,ZUERICH BRUNAU (AB),66.26031568493929,63.18480683491156
2025-05-24,ZUERICH BRUNAU (AB),58.37215092143875,43.56141555844426
2025-05-25,ZUERICH BRUNAU (AB),48.45466514586877,42.75075916075827
2025-05-26,ZUERICH BRUNAU (AB),61.1723861176223,56.04004915831428
2025-05-27,ZUERICH BRUNAU (AB),55.10304562074362,58.648365003918194
2025-05-28,ZUERICH BRUNAU (AB),49.70166266193417,56.411459766914675
2025-05-29,ZUERICH BRUNAU (AB),56.417378717692635,64.52631600398847
2025-05-30,ZUERICH BRUNAU (AB),58.679473011504975,63.30222183971552
2025-05-31,ZUERICH BRUNAU (AB),50.75629819891158,40.20521791593219
2025-05-01,ZUERICH HARDTURM (AB),33.88686644972024,57.09601914445692
2025-05-02,ZUERICH HARDTURM (AB),32.136483704359236,61.464177008079105
2025-05-03,ZUERICH HARDTURM (AB),31.81026256707374,41.32253546651381
2025-05-04,ZUERICH HARDTURM (AB),25.998647225696658,45.14459312816598
2025-05-05,ZUERICH HARDTURM (AB),39.78754841031422,62.07000067634297
2025-05-06,ZUERICH HARDTURM (AB),33.6534100221303,56.42589189988837
2025-05-07,ZUERICH HARDTURM (AB),34.81789454904779,62.76954947771561
2025-05-08,ZUERICH HARDTURM (AB),33.232534364529734,57.742888723359634
2025-05-09,ZUERICH HARDTURM (AB),33.865486264477866,55.23421784023102
2025-05-10,ZUERICH HARDTURM (AB),30.451830317449822,44.89783938606297
2025-05-11,ZUERICH HARDTURM (AB),21.960851175059165,41.73840165061116
2025-05-12,ZUERICH HARDTURM (AB),28.522593340742556,57.15994898069347
2025-05-13,ZUERICH HARDTURM (AB),32.57464552479391,58.60951760254336
2025-05-14,ZUERICH HARDTURM (AB),31.31193769365834,55.27711632294702
2025-05-15,ZUERICH HARDTURM (AB),27.858665029414283,58.75840391796932
2025-05-16,ZUERICH HARDTURM (AB),29.4182121992339,61.0905691486676
2025-05-17,ZUERICH HARDTURM (AB),27.44940958449572,44.12095034846215
2025-05-18,ZUERICH HARDTURM (AB),28.52076366712749,46.69490747147074
2025-05-19,ZUERICH HARDTURM (AB),27.23200366894973,64.64881942258721
2025-05-20,ZUERICH HARDTURM (AB),37.835897524781664,62.0218843438696
2025-05-21,ZUERICH HARDTURM (AB),34.808755122737836,60.491970233112895
2025-05-22,ZUERICH HARDTURM (AB),33.132806488429054,57.07581376648797
2025-05-23,ZUERICH HARDTURM (AB),30.515232442706033,64.85183040449608
2025-05-24,ZUERICH HARDTURM (AB),29.182640306591768,41.31734222331416
2025-05-25,ZUERICH HARDTURM (AB),23.3774572126273,40.49286534055225
2025-05-26,ZUERICH HARDTURM (AB),32.57371656823049,58.623087764244836
2025-05-27,ZUERICH HARDTURM (AB),28.78414713824572,62.900057949061264
2025-05-28,ZUERICH HARDTURM (AB),31.373253894014443,60.84713649018863
2025-05-29,ZUERICH HARDTURM (AB),34.674827481406275,56.87513843949836
2025-05-30,ZUERICH HARDTURM (AB),29.97227227653468,64.29871480497293
2025-05-31,ZUERICH HARDTURM (AB),36.41953056521556,49.93061255619163
2025-06-01,ZUERICH BRUNAU (AB),47.287521083357284,40.0432134405399
2025-06-02,ZUERICH BRUNAU (AB),55.56571534334811,57.330723813264115
2025-06-03,ZUERICH BRUNAU (AB),66.05842566472506,62.62148682012289
2025-06-04,ZUERICH BRUNAU (AB),62.348652749673406,56.475632753306954
2025-06-05,ZUERICH BRUNAU (AB),62.445230014510955,56.87580998509297
2025-06-06,ZUERICH BRUNAU (AB),62.759037684679214,63.36126212254192
2025-06-07,ZUERICH BRUNAU (AB),59.6306037404924,43.4321473226509
2025-06-08,ZUERICH BRUNAU (AB),41.591275686943796,49.83571685223551
2025-06-09,ZUERICH BRUNAU (AB),56.21370320056138,56.87312496603771
2025-06-10,ZUERICH BRUNAU (AB),66.85656539151161,63.91377213978976
2025-06-11,ZUERICH BRUNAU (AB),63.609045381095044,59.61115147684876
2025-06-12,ZUERICH BRUNAU (AB),52.76593282805905,58.1057616665262
2025-06-13,ZUERICH BRUNAU (AB),64.45398274999471,57.09033768208548
2025-06-14,ZUERICH BRUNAU (AB),60.48744341292338,45.32234613836786
2025-06-15,ZUERICH BRUNAU (AB),45.86110895843792,43.17347677466903
2025-06-16,ZUERICH BRUNAU (AB),57.74066684546528,62.45375311713904
2025-06-17,ZUERICH BRUNAU (AB),56.971579657972775,64.99811288644868
2025-06-18,ZUERICH BRUNAU (AB),62.685329892679974,62.373251815479605
2025-06-19,ZUERICH BRUNAU (AB),57.62135873818433,60.30716619615647
2025-06-20,ZUERICH BRUNAU (AB),65.62964531752966,60.893867482231684
2025-06-21,ZUERICH BRUNAU (AB),61.954378767513774,43.014760219738285
2025-06-22,ZUERICH BRUNAU (AB),52.65533322338159,43.752496444172934
2025-06-23,ZUERICH BRUNAU (AB),62.22837047062311,62.04691847352006
2025-06-24,ZUERICH BRUNAU (AB),57.547499369999436,63.80671263685037
2025-06-25,ZUERICH BRUNAU (AB),64.49257659770115,60.07539295631677
2025-06-26,ZUERICH BRUNAU (AB),61.01725055170013,64.2161483101263
2025-06-27,ZUERICH BRUNAU (AB),53.108731827126164,61.159800331665636
2025-06-28,ZUERICH BRUNAU (AB),62.17361373113197,46.70284792974921
2025-06-29,ZUERICH BRUNAU (AB),48.408130996587495,43.518215026082935
2025-06-30,ZUERICH BRUNAU (AB),60.71655660338894,63.36158348805547
