Nr;measuring station;ct;road;tu-th;mo-fr;saturdays;sundays;mo-sun;max-mo-fr;date;max-saturdays;date;month
221;ZUERICH BRUNAU (AB);ZH;A 3;60.505;60.066;55.588;42.854;56.027;63.821;FRI / 04;59.061;12;04
518;ZUERICH HARDTURM (AB);ZH;A 1H;31.722;31.504;30.328;22.636;29.573;33.745;FRI / 11;32.602;12;04
221;ZUERICH BRUNAU (AB);ZH;A 3;59.728;59.736;56.062;47.554;57.178;65.144;WED / 14;58.196;10;05
518;ZUERICH HARDTURM (AB);ZH;A 1H;31.826;31.731;30.735;25.047;30.492;35.235;FRI / 23;32.236;10;05
221;ZUERICH BRUNAU (AB);ZH;A 3;60.833;60.806;56.442;47.382;57.540;64.279;FRI / 27;59.397;28;06
518;ZUERICH HARDTURM (AB);ZH;A 1H;33.242;32.934;29.922;23.076;30.561;35.366;WED / 18;31.038;21;
221;ZUERICH BRUNAU (AB);ZH;A 3;58.247;58.403;54.513;42.675;55.364;64.715;FRI / 24;57.592;25;
518;ZUERICH HARDTURM (AB);ZH;A 1H;30.679;30.629;29.068;21.624;28.975;34.194;FRI / 24;31.115;25;
221;ZUERICH BRUNAU (AB);ZH;A 3;59.638;59.475;56.469;45.739;57.083;63.374;FRI / 28;57.500;01;
518;ZUERICH HARDTURM (AB);ZH;A 1H;31.487;31.284;30.107;23.177;29.958;34.241;FRI / 28;30.545;22;
221;ZUERICH BRUNAU (AB);ZH;A 3;61.460;61.187;56.691;47.265;58.216;65.016;FRI / 07;58.434;22;
518;ZUERICH HARDTURM (AB);ZH;A 1H;31.678;31.645;30.918;24.474;30.371;33.834;FRI / 07;31.726;22;